2,7123,Fellowship of the Loose Screws,Community Team,Sioux Falls,South Dakota,3:15pm,3:45pm,4:55pm,2:15pm,,,,,
2,7129,Robo Raiders,TLC,Lebanon,Illinois,2:25pm,2:50pm,3:25pm,1:55pm,,,,,
2,7236,Recharged Green,PEACE Home School Group,Pella,Iowa,2:50pm,3:15pm,4:25pm,2:00pm,,,,,
2,7261,Omega Robotics,North High School,Sioux City,Iowa,2:50pm,3:15pm,4:25pm,2:00pm,,,,,
2,7351,Dynamic Signals,Community Team (Sponsored by UL),Gurnee,Illinois,2:15pm,2:45pm,4:55pm,2:25pm,,,,,
2,8393,The Giant Diencephalic BrainSTEM Robotics Team,BrainSTEM Learning,Baden,Pennsylvania,3:15pm,3:45pm,4:55pm,2:20pm,,,,,
2,8579,Classical Engineers,Bedford Junior High School,Temperance,Michigan,2:15pm,2:45pm,4:55pm,6:00pm,,,,,
2,8581,Ædificatores,KSS Robotics,Kent,Ohio,2:50pm,3:15pm,1:55pm,4:40pm,,,,,
2,8680,Kraken Pinion,Homestead High School,Mequon,Wisconsin,3:45pm,4:10pm,4:55pm,6:05pm,,,,,
2,8686,Height Differential,Neighborhood Team,Shoreview,Minnesota,3:45pm,4:10pm,4:55pm,2:45pm,,,,,
2,9052,Recharged Orange,PEACE Home School Group,Pella,Iowa,2:00pm,5:00pm,5:55pm,3:40pm,,,,,
2,9473,Crocobots,Center?Stanton High School,Center,North Dakota,2:00pm,5:00pm,5:55pm,3:45pm,,,,,
2,9862,CTRL+ALT+DESTROY,Griffith High School,Griffith,Indiana,2:50pm,3:15pm,1:55pm,4:35pm,,,,,
2,10091,N.Y.A.N. Robotics ? Not Your Average Nerds,NYAN,Mundelein,Illinois,2:00pm,5:00pm,5:55pm,3:50pm,,,,,
2,10237,US Robotics,University School,Cleveland,Ohio,2:00pm,5:00pm,5:55pm,3:55pm,,,,,
2,10255,RoboDux,Creekside Middle School,Zeeland,Michigan,2:00pm,5:00pm,5:55pm,4:00pm,,,,,
2,10273,Cat in the Hat Comes Back,Sherburne Country 4H,Otsego,Minnesota,2:00pm,5:00pm,5:55pm,4:05pm,,,,,
2,10538,Team KILT,Highlander Way Middle School,Howell,Michigan,4:10pm,4:35pm,5:55pm,3:35pm,,,,,
2,11301,Mustang Gear Gang,Maranatha Christian Academy,Brooklyn Park,Minnesota,4:10pm,4:35pm,5:55pm,3:30pm,,,,,
2,11316,Weapons of Mass Construction,Warren County Robotics,Indianola,Iowa,4:10pm,4:35pm,5:25pm,3:25pm,,,,,
2,11360,Space Unicorns,Bloomfield Hills Middle School,Bloomfield Hills,Michigan,4:10pm,4:35pm,5:25pm,3:20pm,,,,,
2,11691,Scripps Dragons,Scripps Middle School,Lake Orion,Michigan,4:10pm,4:35pm,5:25pm,3:15pm,,,,,
2,12783,RoboWarriors,Norwalk RoboWarriors,Norwalk,Iowa,4:10pm,4:35pm,5:25pm,3:10pm,,,,,
2,13034,Whitefield Rocks Robotics,Whitefield Academy,Louisville,Kentucky,3:15pm,3:45pm,4:55pm,5:55pm,,,,,
2,13193,Cary ? Grove High School Robotics Club,Cary Grove High School,Cary,Illinois,3:45pm,4:10pm,5:25pm,3:05pm,,,,,
2,13206,Wave Droids,Waverly Shell?Rock High School,Waverly,Iowa,3:45pm,4:10pm,5:25pm,3:00pm,,,,,
2,13222,Green Mustaches,Hillside Middle School,Northville,Michigan,3:45pm,4:10pm,5:25pm,2:55pm,,,,,
2,13917,Hillside Robotics,Hillside Middle School,Kalamazoo,Michigan,3:45pm,4:10pm,5:25pm,2:50pm,,,,,
